F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,Class
0.18557,0.004568,0.005362,0.003335,0.005415,0.004895,0.012764,0.120138,0.14045,3.361753,1.732333,2.937132,3.457153,3.641968,4.288155,4.417462,3.79721,3.789199,0.65536,-6.00E-06,0.325787,0.229257,0.161094,0.076528,0.045305,0.024431,0.02186,0.105415,0.086735,2.799144,16.188303,2.981911,3.322137,3.048762,3.508541,3.266424,3.044402,2.826142,0.041526,-0.230857,0.00331,0.04225,0.005975,0.002104,0.013878,0.001518,0.011347,0
0.369536,0.003983,0.003386,0.004902,0.00757,0.012136,0.11805,0.323925,0.132093,2.766117,2.042004,3.218885,3.688284,4.187583,4.313245,3.143871,3.063356,3.61618,1.077621,-1.20E-05,0.478365,0.169641,0.133705,0.065771,0.069083,0.05323,0.194405,0.353594,0.08665,2.43903,142.045746,32.189156,10.154789,3.867835,4.24602,2.693811,2.333969,2.955462,-0.141285,-6.222857,0.834177,0.227968,0.018463,-0.020487,0.001246,0.007489,0.008724,1
0.60251,0.008442,0.012961,0.01287,0.046885,0.115401,0.065688,0.306677,0.498805,4.521201,1.619001,2.34331,2.792205,4.047557,4.337026,4.955743,4.763017,4.565633,3.33094,4.00E-06,0.989635,0.261112,0.519648,0.182937,0.384446,0.512307,0.157028,0.261482,0.322801,3.401263,295.816711,7.748134,7.261081,3.506699,3.773208,4.373334,3.690733,3.423784,0.011334,10.335251,-0.276614,-0.1989,-0.012756,0.014286,-0.001866,0.002687,0.013452,1
0.347957,0.064721,0.013611,0.011541,0.006492,0.00869,0.013192,0.164553,0.298665,3.170847,0.127451,0.959267,1.716752,2.476229,3.395086,4.336347,4.089776,2.961214,1.822241,4.00E-06,2.806826,2.733152,0.543705,0.239511,0.086228,0.036957,0.026035,0.142778,0.150629,2.817417,68.145493,256.073975,201.093521,236.427582,133.213226,22.395124,3.194994,2.473058,0.190479,2.864912,-1.921939,0.89169,1.108098,0.635431,0.081368,-0.000225,0.009166,0
0.233653,0.012217,0.010088,0.022095,0.02604,0.015062,0.016063,0.084648,0.213367,8.150943,2.389738,2.321244,2.521603,2.591896,3.765968,5.606859,6.754739,7.549006,2.024514,-1.70E-05,0.911932,0.64957,0.467911,0.272319,0.295105,0.076475,0.030156,0.071655,0.119003,8.327407,2.623938,3.289447,2.337127,2.528022,3.058993,5.351975,5.47857,7.595287,0.203164,0.001812,-0.092731,0.00528,-0.213985,0.032195,0.002081,0.02893,-0.025912,1
0.386156,0.006668,0.010861,0.018542,0.040063,0.02462,0.015193,0.020236,0.381784,2.72865,2.746219,2.463756,3.023734,3.522493,3.766228,4.356109,3.912704,2.630701,1.09332,-2.70E-05,0.763089,0.330767,0.474579,0.228912,0.395991,0.108288,0.038451,0.019705,0.156158,2.371049,4.585149,2.259349,2.834751,3.003054,3.037499,3.231975,3.011273,2.34478,0.001967,-0.215976,-0.026961,-0.002878,0.002696,0.00779,0.009132,0.003628,-0.00017,0
0.154787,0.009916,0.008247,0.018455,0.029495,0.032529,0.034112,0.056415,0.131063,4.136785,2.085597,2.368483,2.884807,3.23706,3.76004,5.471302,4.687302,4.4995,0.799794,-9.00E-06,0.787955,0.504919,0.405019,0.291937,0.276919,0.159749,0.074864,0.050947,0.076436,3.299555,2.496201,2.315516,2.300377,3.338756,3.506761,4.900155,3.501202,3.676849,-0.096024,-0.075695,-0.012493,0.000895,0.00924,-0.007263,0.010839,0.007247,0.004464,0
0.417142,0.003127,0.002403,0.002561,0.012264,0.031506,0.065438,0.201944,0.357483,4.100302,1.3833,1.711614,2.968436,3.109821,3.55554,3.794856,4.329347,4.06278,1.765862,3.00E-06,0.368638,0.095387,0.056064,0.029784,0.11,0.127314,0.133529,0.177579,0.21242,3.089077,612.684326,230.590546,126.646141,2.78441,3.92743,3.476615,3.238647,3.085064,0.035962,18.260563,-3.865793,-2.236413,-0.029039,9.20E-05,0.003141,0.003523,-0.003456,0
0.175277,0.010857,0.008737,0.016494,0.042442,0.01823,0.025634,0.106507,0.126973,3.829329,2.010771,2.179888,2.85136,2.846783,3.946879,4.277059,3.924443,3.610246,0.724024,-2.40E-05,0.848301,0.540853,0.442704,0.244068,0.374531,0.107255,0.054578,0.094262,0.080744,2.999904,2.431017,2.298903,2.31752,2.535157,3.466493,3.381408,3.267556,2.913186,-0.045887,-0.048009,-0.022817,0.016854,0.000187,0.008192,0.007496,0.000688,-0.017234,1
0.481177,0.003448,0.00296,0.002638,0.006628,0.010198,0.071199,0.462666,0.110618,2.105627,3.546644,2.970017,4.1994,4.170247,4.599366,3.249693,2.023765,2.980014,1.050043,1.40E-05,0.53506,0.111448,0.093236,0.037241,0.054188,0.041373,0.132261,0.484521,0.082582,1.710147,359.400696,76.413704,78.603729,4.019435,3.920243,2.707217,1.667811,2.736917,-0.051153,12.330736,-1.783883,-1.410661,-0.055498,0.021058,0.003027,-0.00086,-0.2498,0
